"neo_id","date","hour","minute","relative_velocity_kph","miss_distance_km","orbiting_body",
"2018172","2020-01-08","22","09","31534.3906048391","54963235.77815022","Earth",
"2019764","2020-08-10","18","02","5252.524026326","68760200.70380934","Earth",
"2022753","2021-06-27","16","16","80224.0494252055","73630793.22540191","Earth",
"2022771","2021-04-05","20","08","75942.0213459617","37065297.259012915","Earth",
"2023187","2021-03-21","01","32","133886.4858781819","51780064.50500598","Earth",
"2029075","2021-02-05","10","48","99891.9079387394","73976978.67363442","Earth",
"2033342","2021-11-17","00","01","78564.059085658","57785778.94597897","Earth",
"2035107","2020-02-13","01","36","31334.7355799618","45409731.89928863","Earth",
"2035396","2021-11-18","23","33","98490.5831314692","66352957.25999226","Earth",
"2036284","2020-08-04","09","36","109370.589262767","51302382.319606446","Earth",
"2037655","2021-08-08","07","47","113563.3334775624","28579292.738913298","Earth",
"2038086","2021-07-23","08","43","74449.0325196486","61113047.719518416","Earth",
"2040267","2020-02-09","06","31","122479.7085669114","28336207.569601417","Earth",
"2041429","2020-07-18","06","30","53170.6042916118","46067378.63184224","Earth",
"2052750","2021-12-25","08","07","52981.6989035876","46586242.83696515","Earth",
"2052768","2020-04-29","09","56","31325.705318779","6290365.348544798","Earth",
"2053435","2020-11-10","21","49","37772.7635837174","62735365.575639956","Earth",
"2055532","2021-07-30","08","57","132909.3488709922","74540802.43917544","Earth",
"2065690","2020-04-06","02","42","31979.830969063","12643200.134679085","Earth",
"2065717","2021-01-17","08","49","12976.8645695555","7080793.16085873","Earth",
"2065733","2020-06-04","12","32","61560.6419613586","17996081.76791699","Earth",
"2065909","2021-12-11","18","48","58722.3038330125","62526335.867760606","Earth",
"2066253","2020-07-22","09","42","82768.8723325142","57315479.729619466","Earth",
"2066272","2020-12-01","02","56","89003.7883773878","61318529.624152","Earth",
"2066391","2020-05-26","17","20","88670.8014416633","23910125.38675479","Earth",
"2066400","2021-04-11","07","06","49260.3027165324","25306018.713547412","Earth",
"2066407","2020-06-27","03","36","40110.677702357","44207922.73509259","Earth",
"2068063","2021-09-12","00","18","11482.2573244793","42680074.12374182","Earth",
"2068347","2021-11-10","20","29","46525.6216868659","34508298.62807574","Earth",
"2068359","2020-11-18","04","27","20732.3622355219","72765792.2362336","Earth",
"2069230","2020-12-02","07","59","45386.314404781","39141470.68322143","Earth",
"2085184","2020-05-04","15","03","62341.2044350898","22439762.614270844","Earth",
"2085275","2020-08-24","19","28","39136.9294053068","17143310.793575637","Earth",
"2085628","2021-12-09","10","42","54877.9936102301","57470057.503274746","Earth",
"2085770","2020-10-10","03","53","59180.2232575295","47141989.753665715","Earth",
"2085953","2021-02-16","05","53","77790.7258108949","20776385.139403164","Earth",
"2085989","2020-07-20","12","59","85439.0934160866","19563057.37305094","Earth",
"2085990","2020-01-16","13","49","66557.7944869302","43134084.09179043","Earth",
"2086039","2021-03-04","05","26","92570.3820699376","52462009.29759966","Earth",
"2086450","2020-01-08","01","18","64398.3394183801","25828988.976287574","Earth",
"2086667","2020-05-10","12","50","51104.2042983503","37404851.467502154","Earth",
"2086878","2021-10-25","22","23","60583.7819851495","57711894.09884404","Earth",
"2087024","2021-05-21","20","53","27884.5402492467","21787498.71227558","Earth",
"2087309","2021-07-17","23","49","62177.9711848708","34221880.17679052","Earth",
"2087684","2021-11-20","12","46","115592.2059833449","73152908.90336044","Earth",
"2088254","2021-06-30","07","12","112383.282159468","55416303.96776803","Earth",
"2088263","2021-11-25","10","25","70352.8836456308","65042373.47990775","Earth",
"2088959","2020-04-13","22","11","103359.6220542199","52098446.87494347","Earth",
"2089355","2021-01-28","03","33","41002.4813037826","71959193.40280543","Earth",
"2089958","2021-06-28","19","55","109383.425956395","28363603.26297686","Earth",
"2090147","2020-12-24","00","31","58092.8365974874","28188899.085564747","Earth",
